City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,sakaiminato,35.55,133.23,53.6,81,75,5.82,JP,1587240569
375,qui nhon,13.77,109.23,76.28,88,76,5.68,VN,1587240570
376,ust-omchug,61.15,149.63,-7.22,79,100,10.04,RU,1587240570
377,semey,50.41,80.23,49.19,57,0,2.01,KZ,1587240570
378,kutum,14.2,24.67,70.56,14,7,9.55,SD,1587240570
379,kysyl-syr,63.9,122.76,1.11,91,16,6.33,RU,1587240570
380,san ramon,37.78,-121.98,64.99,51,75,4.7,US,1587240354
381,burnie,-41.07,145.92,55.99,91,99,3,AU,1587240571
382,kirakira,-10.45,161.92,78.71,80,100,4.29,SB,1587240461
383,lazarev,52.23,141.51,22.86,94,84,6.91,RU,1587240571
384,ketchikan,55.34,-131.65,51.8,71,1,16.11,US,1587240571
385,caravelas,-17.71,-39.25,76.51,78,94,19.64,BR,1587240571
387,grand gaube,-20.01,57.66,78.8,74,40,12.75,MU,1587240572
389,prince rupert,54.32,-130.32,50.0,81,1,4.7,CA,1587240572
390,salihorsk,52.79,27.54,38.3,71,100,6.6,BY,1587240572
391,houston,29.76,-95.36,75.0,73,90,10.29,US,1587239923
392,oranjestad,12.52,-70.03,86.0,62,40,19.46,AW,1587240572
393,gornopravdinsk,60.05,69.9,42.33,82,70,9.1,RU,1587240572
394,zhigalovo,54.81,105.16,21.69,87,33,6.62,RU,1587240573
395,avera,33.19,-82.53,78.8,34,1,16.11,US,1587240573
396,nemuro,43.32,145.57,40.14,79,100,9.24,JP,1587240573
397,hengyang,26.89,112.61,59.9,90,100,7.29,CN,1587240574
398,acapulco,16.86,-99.89,84.2,70,5,9.17,MX,1587240397
399,abu kamal,34.45,40.92,76.68,29,68,1.34,SY,1587240574
400,portland,45.52,-122.68,52.0,76,90,11.41,US,1587240574
401,kloulklubed,7.04,134.26,80.6,88,75,8.05,PW,1587240361
402,fortuna,40.6,-124.16,57.99,81,75,6.73,US,1587240574
403,gobo,33.88,135.15,59.0,51,20,27.51,JP,1587240575
404,srandakan,-7.94,110.25,79.12,80,98,5.35,ID,1587240430
405,charcas,23.13,-101.12,80.37,15,95,8.68,MX,1587240575
407,along,28.17,94.77,64.4,68,68,2.59,IN,1587240576
408,panguna,-6.32,155.48,73.49,75,93,0.49,PG,1587240576
410,cairns,-16.92,145.77,77.0,94,90,2.21,AU,1587240444
411,solvychegodsk,61.33,46.92,31.14,97,26,1.95,RU,1587240576
412,coos bay,43.37,-124.22,53.6,76,75,9.17,US,1587240576
413,tura,25.52,90.22,66.11,75,10,2.73,IN,1587240576
414,port hardy,50.7,-127.42,48.2,87,40,6.93,CA,1587240438
415,mchinji,-13.8,32.88,61.47,69,9,4.81,MW,1587240577
417,garoua,9.3,13.4,95.0,26,86,6.93,CM,1587240577
418,manta,-0.95,-80.73,77.0,88,85,2.24,EC,1587240578
419,karratha,-20.74,116.85,82.06,60,100,8.84,AU,1587240578
420,puerto colombia,10.99,-74.95,93.2,52,20,10.29,CO,1587240380
421,la ronge,55.1,-105.28,28.4,54,75,16.11,CA,1587240578
422,tarakan,3.3,117.63,77.81,88,16,7.81,ID,1587240578
423,husavik,66.04,-17.34,46.4,75,90,44.96,IS,1587240578
424,ambovombe,-25.17,46.08,71.2,83,44,11.43,MG,1587240578
425,sitka,57.05,-135.33,44.6,87,40,4.32,US,1587240358
426,krabi,8.07,98.91,80.01,100,20,3.36,TH,1587240579
